Article #,ingredient 1,Concentration ,Unit of concentration ,Normalized concentration % of meat,Chemical composition,source,ingredient 2,Concentration ,Unit of concentration ,Normalized concentration %,Chemical chomposition,Source,ingredient 3,Concentration ,Unit of concentration ,Normalized concentration,Chemical composition,Source,ingredient 4,Concentration ,Unit of concentration ,Normalized concentration,chemical composition,source,Immersion time,Packaging condition,Storage condition (°C),Meat type,meat type 2,part of product,Treatment,Combined treatment, Indicators,Type of indicator,Lower Level Threshold (log CFU/g),Upper Level Threshold (log CFU/g),Unit,Initial Count (Day 0),Pre-threshold   (Day),Pre-threshold Count,Efficacité pre-threshols,Initial inhibition factor,Pre-Threshold Proximity Index 1(TPI),Pre-Threshold Proximity Index 2(TPI),Efficacité pre-threshols proximity ,Post-threshold (Day),Post-threshold Count,Efficacité of Post-threshold,Efficiency,post inhibition factor ,Post-Threshold Proximity Index 1(TPI),Post-Threshold Proximity Index 2(TPI),Efficacité post-threshols proximity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,cathodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,carvacrol EO,0.5,% (w/w),0.5,Essential oil,plant,thymol EO,0.5,% (w/w),0.5,Essential oil,plant,,,25,fish,fish,skinless carp fillets,ANM,,TVBN,Chemical,20,30,mg/100g,6.80,2,20.7,3,6.950,1.04,0.690,3,3,40.6,2,1.31,19.900,2.03,1.35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,cathodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,carvacrol EO,0.5,% (w/w),0.5,Essential oil,plant,thymol EO,0.5,% (w/w),0.5,Essential oil,plant,,,25,fish,fish,skinless carp fillets,ANM,,TVBN,Chemical,20,30,mg/100g,6.80,2,18.8,3,6.000,0.94,0.627,3,3,38.9,2,1.38,20.100,1.95,1.30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,cathodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,carvacrol EO,0,% (w/w),0,,,thymol EO,0,% (w/w),0,,,,,25,fish,fish,skinless carp fillets,,,PV,Chemical,10,20,meq/kg,1.00,3,8.5,1,2.500,0.85,0.425,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,cathodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,carvacrol EO,0,% (w/w),0,,,thymol EO,0,% (w/w),0,,,,,25,fish,fish,skinless carp fillets,ANM,,PV,Chemical,10,20,meq/kg,1.00,3,8.9,1,2.633,0.89,0.445,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,cathodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,carvacrol EO,0,% (w/w),0,,,thymol EO,0,% (w/w),0,,,,,25,fish,fish,skinless carp fillets,,,PV,Chemical,10,20,meq/kg,1.00,3,7.3,1,2.100,0.73,0.365,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,cathodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,carvacrol EO,0.5,% (w/w),0.5,Essential oil,plant,thymol EO,0.5,% (w/w),0.5,Essential oil,plant,,,25,fish,fish,skinless carp fillets,ANM,,PV,Chemical,10,20,meq/kg,1.00,3,6.63,1,1.877,0.66,0.332,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,cathodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,carvacrol EO,0.5,% (w/w),0.5,Essential oil,plant,thymol EO,0.5,% (w/w),0.5,Essential oil,plant,,,25,fish,fish,skinless carp fillets,ANM,,PV,Chemical,10,20,meq/kg,1.00,3,4.2,2,1.067,0.42,0.210,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,cathodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,carvacrol EO,0.5,% (w/w),0.5,Essential oil,plant,thymol EO,0.5,% (w/w),0.5,Essential oil,plant,,,25,fish,fish,skinless carp fillets,anm,,PV,Chemical,10,20,meq/kg,1.00,3,2.9,3,0.633,0.29,0.145,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,cathodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,carvacrol EO,0,% (w/w),0,,,thymol EO,0,% (w/w),0,,,,,25,fish,fish,skinless carp fillets,,,TBARS,Chemical,0.50,2.00,mg MDA/kg,0.15,2,0.34,3,0.095,0.68,0.170,3,3,0.80,3.00,1.57,0.460,1.60,0.40,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,cathodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,carvacrol EO,0,% (w/w),0,,,thymol EO,0,% (w/w),0,,,,,25,fish,fish,skinless carp fillets,,,TBARS,Chemical,0.50,2.00,mg MDA/kg,0.15,2,0.38,3,0.115,0.76,0.190,3,3,0.92,3.00,1.61,0.540,1.84,0.46,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,cathodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,carvacrol EO,0,% (w/w),0,,,thymol EO,0,% (w/w),0,,,,,25,fish,fish,skinless carp fillets,,,TBARS,Chemical,0.50,2.00,mg MDA/kg,0.14,2,0.26,3,0.060,0.52,0.130,3,3,0.63,3.00,1.62,0.370,1.26,0.32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,cathodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,carvacrol EO,0.5,% (w/w),0.5,Essential oil,plant,thymol EO,0.5,% (w/w),0.5,Essential oil,plant,,,25,fish,fish,skinless carp fillets,ANM,,TBARS,Chemical,0.50,2.00,mg MDA/kg,0.14,3,0.25,3,0.037,0.50,0.125,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,cathodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,carvacrol EO,0.5,% (w/w),0.5,Essential oil,plant,thymol EO,0.5,% (w/w),0.5,Essential oil,plant,,,25,fish,fish,skinless carp fillets,ANM,,TBARS,Chemical,0.50,2.00,mg MDA/kg,0.14,3,0.30,3,0.053,0.60,0.150,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,cathodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,carvacrol EO,0.5,% (w/w),0.5,Essential oil,plant,thymol EO,0.5,% (w/w),0.5,Essential oil,plant,,,25,fish,fish,skinless carp fillets,ANM,,TBARS,Chemical,0.50,2.00,mg MDA/kg,0.14,3,0.17,3,0.010,0.34,0.085,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Chlorine dioxide/lactic acid/fumaric acid,0,%,0,,,,,,,,,,,,,,,,,,,,,1 min,,4,Chicken,Chicken,Broiler wings,,,TAC,Microbial,5,7,log CFU/g,4.96,5,5.87,2,0.18,1.17,0.84,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Chlorine dioxide,0.3,%,0.3,,,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,TAC,Microbial,5,7,log CFU/g,4.44,9,5.54,3,0.12,1.11,0.79,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Chlorine dioxide,0.5,%,0.5,,,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,TAC,Microbial,5,7,log CFU/g,4.36,9,5.75,2,0.15,1.15,0.82,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Lactic acid,0.5,%,0.5,Organic acid ,other natural sources,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,TAC,Microbial,5,7,log CFU/g,4.39,9,5.62,3,0.14,1.12,0.80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Lactic acid,1,%,1,Organic acid ,other natural sources,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,TAC,Microbial,5,7,log CFU/g,4.35,9,5.79,2,0.16,1.16,0.83,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Fumaric acid,0.5,%,0.5,Organic acid ,other natural sources,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,TAC,Microbial,5,7,log CFU/g,4.44,9,5.69,2,0.14,1.14,0.81,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Fumaric acid,1,%,1,Organic acid ,other natural sources,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,TAC,Microbial,5,7,log CFU/g,4.55,9,5.66,2,0.12,1.13,0.81,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Chlorine dioxide/lactic acid/fumaric acid,0,%,0,,,,,,,,,,,,,,,,,,,,,1 min,,4,Chicken,Chicken,Broiler wings,,,E. coli,Microbial,2,3,log CFU/g,2.80,,,,,,,,5,3.15,,,0.630,1.58,1.05,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Chlorine dioxide,0.3,%,0.3,,,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,E. coli,Microbial,2,3,log CFU/g,2.52,9,2.92,1,0.04,1.46,0.97,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Chlorine dioxide,0.5,%,0.5,,,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,E. coli,Microbial,2,3,log CFU/g,2.18,9,2.63,2,0.05,1.32,0.88,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Lactic acid,0.5,%,0.5,Organic acid ,other natural sources,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,E. coli,Microbial,2,3,log CFU/g,2.40,9,2.67,1,0.03,1.34,0.89,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Lactic acid,1,%,1,Organic acid ,other natural sources,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,E. coli,Microbial,2,3,log CFU/g,1.79,9,2.13,3,0.04,1.07,0.71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Fumaric acid,0.5,%,0.5,Organic acid ,other natural sources,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,E. coli,Microbial,2,3,log CFU/g,2.27,9,2.65,2,0.04,1.33,0.88,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Fumaric acid,1,%,1,Organic acid ,other natural sources,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,E. coli,Microbial,2,3,log CFU/g,2.09,9,2.33,3,0.03,1.17,0.78,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Chlorine dioxide/lactic acid/fumaric acid,0,%,0,,,,,,,,,,,,,,,,,,,,,1 min,,4,Chicken,Chicken,Broiler wings,,,TPC,Microbial,5,7,log CFU/g,5.63,5,5.70,2,0.01,1.14,0.81,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Chlorine dioxide,0.3,%,0.3,,,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,TPC,Microbial,5,7,log CFU/g,5.43,9,5.77,2,0.04,1.15,0.82,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Chlorine dioxide,0.5,%,0.5,,,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,TPC,Microbial,5,7,log CFU/g,5.38,9,5.72,2,0.04,1.14,0.82,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Lactic acid,0.5,%,0.5,Organic acid ,other natural sources,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,TPC,Microbial,5,7,log CFU/g,5.41,9,5.75,2,0.04,1.15,0.82,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Lactic acid,1,%,1,Organic acid ,other natural sources,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,TPC,Microbial,5,7,log CFU/g,5.40,9,5.77,2,0.04,1.15,0.82,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Fumaric acid,0.5,%,0.5,Organic acid ,other natural sources,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,TPC,Microbial,5,7,log CFU/g,5.47,9,5.77,2,0.03,1.15,0.82,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0094,Fumaric acid,1,%,1,Organic acid ,other natural sources,,,,,,,,,,,,,,,,,,,10 min,,4,Chicken,Chicken,Broiler wings,ANM,,TPC,Microbial,5,7,log CFU/g,5.40,9,5.74,2,0.04,1.15,0.82,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0105-106,SO2,0,mg/kg meat,0,,,,,,,,,,,,,,,,,,,,,, transparent polystyrene tray BA-85 and overwrapped with an oxygen-permeable polypropylene film,4,Beef,Beef,Raw beef patties,,20g salt/kg meat added,TVC,Microbial,5,7,log CFU/g,4.6,6,5.6,1,0.17,1.12,0.80,2,9,6.4,3,0.762,0.267,1.28,0.914,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0105-106,SO2,100,mg/kg meat,0.01,,,,,,,,,,,,,,,,,,,,,, transparent polystyrene tray BA-85 and overwrapped with an oxygen-permeable polypropylene film,4,Beef,Beef,Raw beef patties,ANM+SALT,20g salt/kg meat added,TVC,Microbial,5,7,log CFU/g,4.5,9,5.9,1,0.16,1.18,0.84,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0105-106,SO2,100,mg/kg meat,0.01,,,sodium ascorbate,400,mg/kg meat,0.04,,,,,,,,,,,,,,,, transparent polystyrene tray BA-85 and overwrapped with an oxygen-permeable polypropylene film,4,Beef,Beef,Raw beef patties,ANM+SALT,20g salt/kg meat added,TVC,Microbial,5,7,log CFU/g,4.4,9,5.6,1,0.13,1.12,0.80,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0105-106,SO2,100,mg/kg meat,0.01,,,Green tea extract,300,mg/kg meat,0.03,Phenol,plant,,,,,,,,,,,,,, transparent polystyrene tray BA-85 and overwrapped with an oxygen-permeable polypropylene film,4,Beef,Beef,Raw beef patties,ANM+SALT,20g salt/kg meat added,TVC,Microbial,5,7,log CFU/g,4.3,9,5.8,1,0.17,1.16,0.83,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0105-106,SO2,100,mg/kg meat,0.01,,,Grape seed extract,300,mg/kg meat,0.03,Phenol,plant,,,,,,,,,,,,,, transparent polystyrene tray BA-85 and overwrapped with an oxygen-permeable polypropylene film,4,Beef,Beef,Raw beef patties,ANM+SALT,20g salt/kg meat added,TVC,Microbial,5,7,log CFU/g,4.4,9,5.6,1,0.13,1.12,0.80,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0105-106,SO2,0,mg/kg meat,0,,,,,,,,,,,,,,,,,,,,,, transparent polystyrene tray BA-85 and overwrapped with an oxygen-permeable polypropylene film,4,Beef,Beef,Raw beef patties,,20g salt/kg meat added,TCC,Microbial,2,3,log CFU/g,3.4,9,5.5,1,0.23,2.75,1.83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0105-106,SO2,100,mg/kg meat,0.01,,,,,,,,,,,,,,,,,,,,,, transparent polystyrene tray BA-85 and overwrapped with an oxygen-permeable polypropylene film,4,Beef,Beef,Raw beef patties,ANM+SALT,20g salt/kg meat added,TCC,Microbial,2,3,log CFU/g,3.3,9,4.1,2,0.09,2.05,1.37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0105-106,SO2,100,mg/kg meat,0.01,,,sodium ascorbate,400,mg/kg meat,0.04,,,,,,,,,,,,,,,, transparent polystyrene tray BA-85 and overwrapped with an oxygen-permeable polypropylene film,4,Beef,Beef,Raw beef patties,ANM+SALT,20g salt/kg meat added,TCC,Microbial,2,3,log CFU/g,3.2,9,3.7,2,0.06,1.85,1.23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0105-106,SO2,100,mg/kg meat,0.01,,,Green tea extract,300,mg/kg meat,0.03,Phenol,plant,,,,,,,,,,,,,, transparent polystyrene tray BA-85 and overwrapped with an oxygen-permeable polypropylene film,4,Beef,Beef,Raw beef patties,ANM+SALT,20g salt/kg meat added,TCC,Microbial,2,3,log CFU/g,3.3,9,3.8,2,0.06,1.90,1.27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0105-106,SO2,100,mg/kg meat,0.01,,,Grape seed extract,300,mg/kg meat,0.03,Phenol,plant,,,,,,,,,,,,,, transparent polystyrene tray BA-85 and overwrapped with an oxygen-permeable polypropylene film,4,Beef,Beef,Raw beef patties,ANM+SALT,20g salt/kg meat added,TCC,Microbial,2,3,log CFU/g,3.4,9,3.4,3,0.00,1.70,1.13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0105-106,SO2,0,mg/kg meat,0,,,,,,,,,,,,,,,,,,,,,, transparent polystyrene tray BA-85 and overwrapped with an oxygen-permeable polypropylene film,4,Beef,Beef,Raw beef patties,,20g salt/kg meat added,TBARS,Chemical,0.5,2,MDA/kg,0.83,1,0.83,2,0.000,1.66,0.415,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0105-106,SO2,100,mg/kg meat,0.01,,,,,,,,,,,,,,,,,,,,,, transparent polystyrene tray BA-85 and overwrapped with an oxygen-permeable polypropylene film,4,Beef,Beef,Raw beef patties,ANM+SALT,20g salt/kg meat added,TBARS,Chemical,0.5,2,MDA/kg,0.78,1,0.78,2,0.000,1.56,0.390,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0105-106,SO2,100,mg/kg meat,0.01,,,sodium ascorbate,400,mg/kg meat,0.04,,,,,,,,,,,,,,,, transparent polystyrene tray BA-85 and overwrapped with an oxygen-permeable polypropylene film,4,Beef,Beef,Raw beef patties,ANM+SALT,20g salt/kg meat added,TBARS,Chemical,0.5,2,MDA/kg,0.44,10,0.69,3,0.025,1.38,0.345,3,>10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0105-106,SO2,100,mg/kg meat,0.01,,,Green tea extract,300,mg/kg meat,0.03,Phenol,plant,,,,,,,,,,,,,, transparent polystyrene tray BA-85 and overwrapped with an oxygen-permeable polypropylene film,4,Beef,Beef,Raw beef patties,ANM+SALT,20g salt/kg meat added,TBARS,Chemical,0.5,2,MDA/kg,0.51,10,0.6,3,0.009,1.20,0.300,3,>10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0105-106,SO2,100,mg/kg meat,0.01,,,Grape seed extract,300,mg/kg meat,0.03,Phenol,plant,,,,,,,,,,,,,, transparent polystyrene tray BA-85 and overwrapped with an oxygen-permeable polypropylene film,4,Beef,Beef,Raw beef patties,ANM+SALT,20g salt/kg meat added,TBARS,Chemical,0.5,2,MDA/kg,0.45,10,0.47,3,0.002,0.94,0.235,3,>10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0109,Grape extract,0,g/100g,0,,,,,,,,,,,,,,,,,,,,,,,4,Pork,Pork,Pork burgers,,,TVC,Microbial,5,7,log CFU/g,4.3,3,5.7,1,0.47,1.14,0.81,2,6,6.5,3,0.570,0.267,1.3,0.929,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0109,Grape pomace extract 1,0.06,g/100g,0.06,Phenol,plant,,,,,,,,,,,,,,,,,,,,,4,Pork,Pork,Pork burgers,ANM,,TVC,Microbial,5,7,log CFU/g,4.5,3,5.7,1,0.40,1.14,0.81,2,6,6.5,3,0.570,0.267,1.3,0.929,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
