Replicate,Ingredient,Day,Peroxide_Value,Total_bacteria_count_log,TVB_N,TMA_N
2,N10,5,0.290613971,3.559911855,0.222248845,0
3,N10,5,0.238884684,3.4460909,0,0
1,N10,7,0.381091787,4.882346322,0,0
2,N10,7,0.14201336,5.407336339,0,0
3,N10,7,0.368111029,4.996125083,0,0
1,N10,9,0,5.728984292,13.8558984,3.942263979
2,N10,9,0.112370735,6.245881937,7.797672771,1.712783614
3,N10,9,0.852467647,5.208591518,3.716433978,0.820511398
1,N10,11,0.432627331,6.904483051,9.165169536,1.733950993
2,N10,11,0.290613971,6.952744186,9.681516923,7.845987692
3,N10,11,0.238884684,6.701402739,16.21175095,14.1805803
1,N10,14,0,7.061409854,0,12.5660346
2,N10,14,0.025767772,7.591925156,51.03765124,12.57022876
3,N10,14,0,7.247450134,27.97839475,16.55123838
1,NB,1,0.419840316,1.759187751,0,0.575385641
2,NB,1,0.619976471,2.253254555,0.81220956,4.096361258
3,NB,1,0,1.911666033,1.557802978,0.873889475
1,NB,3,0.452001596,2.45534148,0,0
2,NB,3,0.523105147,2.834534912,0,0
3,NB,3,0.452001596,2.680557175,0.761520494,0
1,NB,5,0.045142037,3.693620159,2.790005481,0
2,NB,5,0.129226346,4.001267319,0.222248845,0
3,NB,5,0.206723404,3.857783208,0,0
1,NB,7,0.445608088,5.663798007,0,0
2,NB,7,0.3293625,5.54852885,0,0
3,NB,7,0.445608088,5.72569804,0,NA
1,NB,9,0,6.031739481,4.21421384,0.52085789
2,NB,9,0.774970588,6.280158555,6.667764444,1.433257778
3,NB,9,0.490750125,6.322400449,3.558194839,1.748943226
1,NB,11,0.452001596,5.890132931,31.08388198,6.576767901
2,NB,11,0.523105147,6.046422505,44.71419656,10.00344559
3,NB,11,0.413253066,5.833668578,11.79480043,9.788468401
1,NB,14,0.014918184,7.054491798,61.88663052,0
2,NB,14,0.032355022,7.392062476,82.40104214,45.30673202
3,NB,14,0.038748529,6.43269373,55.98932889,12.07002222
1,B5,1,0.3293625,1.920724647,1.707693543,0
2,B5,1,0.232491176,2.32378645,0,5.402299259
3,B5,1,0.290613971,2.243656485,0.59864,0.47036
1,B5,3,0.484356618,2.955303523,0,0.242890909
2,B5,3,0.445608088,3.030785542,0.545751111,0
3,B5,3,0.581227941,2.928337479,0.305508571,0.878337143
1,B5,5,0.083890566,4.246959258,0,0
2,B5,5,0.18734914,3.83316942,0,0
3,B5,5,0.161387625,3.582955709,0,0
1,B5,7,0.361717522,6.044945693,0,0
2,B5,7,0.374504537,6.219620651,0,0
3,B5,7,0.439214581,5.733739869,0,0
1,B5,9,0.406859559,6.402842084,5.304612764,3.195549858
2,B5,9,0.083890566,6.441345144,4.893157949,1.192450256
3,B5,9,0.458588846,6.801619098,8.43991673,1.659732579
1,B5,11,0.561853676,6.278290402,18.04765172,6.756532929
2,B5,11,0.419840316,6.573592198,12.73701333,11.51005333
3,B5,11,0.490750125,6.477608689,13.7635388,5.131354188
1,B5,14,0.548872919,6.15948369,41.41802275,19.76269098
2,B5,14,0.555460169,6.233086766,76.60604,19.37277263
3,B5,14,0.503730882,6.104577631,51.63041333,9.811573333
1,B10,1,0.200136154,2.43095697,0,0
2,B10,1,0.135619853,2.411281813,0.591913957,3.981966619
3,B10,1,0.14201336,2.303125161,2.066057778,0.194911111
1,B10,3,0.787951346,2.573619347,0,0
2,B10,3,0.561853676,2.613594475,0.070296213,0
3,B10,3,0.723241301,2.551861157,0,0
1,B10,5,0.374504537,3.553012498,0,0
2,B10,5,0.348736765,3.615883611,3.757132911,0
3,B10,5,0.232491176,3.551129322,0.329878431,0
1,B10,7,0.374504537,5.721824229,0,0
2,B10,7,0.348736765,5.650636856,0,0
3,B10,7,0.232491176,5.627660981,0,0
1,B10,9,0.768577081,5.789454795,4.047096881,2.812389358
2,B10,9,0.716847794,6.268684185,5.251126377,1.208223768
3,B10,9,0.490750125,6.140849909,4.255678519,4.255678519
1,B10,11,0.381091787,5.912224766,30.08413751,7.981505871
2,B10,11,0,6.042301342,28.85848436,9.572911277
3,B10,11,0.032355022,5.738340696,15.95564,11.14892
1,B10,14,0.626369978,6.08104097,86.2174203,17.95731522
2,B10,14,0.542479412,5.985177201,75.55461189,15.03887984
3,B10,14,0.568247184,5.26646069,67.80266745,19.54275216
1,PA,1,0.14201336,2.503040259,1.475621538,0.287926154
2,PA,1,0.387485294,2.42448352,0.578556364,0.170163636
3,PA,1,0.161387625,2.513477321,0,3.010114074
1,PA,3,0.348736765,3.201032071,0.123602645,1.792238347
2,PA,3,0.213116912,3.171465644,0.93492,1.594863529
3,PA,3,0.348736765,3.328144301,0,1.999045891
1,PA,5,0.083890566,4.418047664,0,0
2,PA,5,0.213116912,4.25490543,0,0
3,PA,5,0.219510419,4.192750116,0,0
1,PA,7,0.413253066,5.870175504,0,0
2,PA,7,0.619976471,5.772256622,0,0
3,PA,7,0.574834434,5.75108957,0,0
1,PA,9,0.251865441,7.406762306,3.90818269,0.656837427
2,PA,9,0.103264831,6.935101106,4.281769655,0.257937931
3,PA,9,0.639350735,7.318697181,4.282901538,0.179953846
1,PA,11,0.232491176,7.909048882,14.36961217,10.46836
2,PA,11,0.419840316,7.543976757,17.28393333,5.512173333
3,PA,11,0.432627331,7.77008024,16.72361953,28.73636031
1,PA,14,0.497337375,8.090672919,44.11087852,14.42646074
2,PA,14,0.678099265,6.798332365,65.23619003,14.16592011
3,PA,14,0.626369978,7.603482182,55.00415556,15.45460889
1,PAN,1,0.161387625,1.844108947,7.174434197,0
2,PAN,1,0.138719735,2.061954647,0.511171594,0.650582029
3,PAN,1,0,2.205138448,3.528958788,0.722798788
1,PAN,3,0.361717522,2.587225642,0,0
2,PAN,3,0.090477816,2.292275893,0,1.560500432
3,PAN,3,0.503730882,2.693137801,0,1.337727018
1,PAN,5,0.432627331,3.733322715,0.084487672,0
2,PAN,5,0.374504537,3.597735361,1.121306667,0
3,PAN,5,0.47796311,3.776725585,0.096946926,0
1,PAN,7,0.432627331,5.623632962,0,0
2,PAN,7,0.536085904,5.495257309,0,0
3,PAN,7,0.632957228,5.731037029,0,0
1,PAN,9,0.736222059,7.149786638,3.706158693,9.980942222
2,PAN,9,0.568247184,7.158066373,3.539628906,1.655632875
3,PAN,9,0.716847794,7.22666748,4.976205674,12.85851546
1,PAN,11,0.161387625,7.162810318,18.33482896,11.64356148
2,PAN,11,0.18734914,7.086814245,21.28769419,11.14412516
3,PAN,11,0.032355022,7.146289189,17.92737333,13.43617333
1,PAN,14,0.574834434,7.998403691,37.2902773,8.029811685
2,PAN,14,0.439214581,7.893113068,33.0609473,10.70988434
3,PAN,14,0.691080022,7.985967235,30.15499596,10.8376602
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
