experiment_id,ingredient_id,ingredient,concentration,unit_of_concentration,normalized_concentration_%_of_meat,chemical_composition,source,immersion_time,storage_temperature,meat_type,part_of_product,physical_hurdle_tech,application_method,hurdle_coordination,irradiation_dose,indicators,type_of_indicator,lower_level_threshold_(log_cfu/g),upper_level_threshold_(log_cfu/g),unit,initial_count_(day_0),pre_threshold_(day),pre_threshold_count,post_threshold_(day),post_threshold_count,data_source,initial_inhibition_factor,post_inhibition_factor,post_threshold_proximity_index_2(tpi)
b5,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.707693543,9.0,5.304612764,11.0,18.04765172,experimental,0.3996576912222222,6.371519478000001,1.2031767813333334
b5,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.3293625,14.0,0.548872919,,,experimental,0.015679315642857145,,
b5,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.32378645,5.0,3.83316942,7.0,6.219620651,experimental,0.301876594,1.1932256154999998,1.2439241302
b5,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,5.402299259,9.0,1.192450256,1.0,5.402299259,experimental,-0.4677610003333334,4209849.0030000005,1.0804598518000001
b5,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.0,11.0,12.73701333,14.0,76.60604,experimental,1.1579103027272728,21.289675556666666,5.107069333333333
b5,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.232491176,14.0,0.555460169,,,experimental,0.02306921378571428,,
b5,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.243656485,5.0,3.582955709,7.0,5.733739869,experimental,0.2678598448000001,1.0753920799999999,1.1467479738
b5,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.47036,9.0,1.659732579,11.0,5.131354188,experimental,0.1321525087777778,1.7358108045000002,1.0262708376
b5,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.59864,11.0,13.7635388,14.0,51.63041333,experimental,1.1968089818181817,12.622291510000002,3.4420275553333335
b5,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.290613971,14.0,0.503730882,,,experimental,0.015222636500000001,,
f3,1,sunflower lecithin,0.3,%,,lipid,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.674932218,5.0,4.312926096,7.0,5.725791154,experimental,0.3275987756,0.7064325290000002,1.1451582308000001
f3,1,sunflower lecithin,0.3,%,,lipid,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.0,7.0,0.0,9.0,20.59616131,experimental,0.0,10.298080655,4.119232262
f3,1,sunflower lecithin,0.3,%,,lipid,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.35604,7.0,0.0,9.0,22.13537621,experimental,-0.19371999999999998,11.067688105,1.4756917473333333
f3,1,sunflower lecithin,0.3,%,,lipid,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.0,14.0,0.232491176,,,experimental,0.01660651257142857,,
f3,1,sunflower lecithin,0.3,%,,lipid,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.424354304,5.0,4.197079048,7.0,5.667454161,experimental,0.3545449488,0.7351875565000001,1.1334908322000001
f3,1,sunflower lecithin,0.3,%,,lipid,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.0,7.0,0.0,9.0,21.54503556,experimental,0.0,10.77251778,4.309007112
f3,1,sunflower lecithin,0.3,%,,lipid,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.222099487,7.0,0.0,9.0,27.52284889,experimental,-0.17458564099999999,13.761424445,1.8348565926666667
f3,1,sunflower lecithin,0.3,%,,lipid,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.071103551,14.0,0.503730882,,,experimental,0.030901952214285718,,
f3,1,sunflower lecithin,0.3,%,,lipid,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.640438483,5.0,4.235097286,7.0,5.664466391,experimental,0.31893176060000006,0.7146845525000001,1.1328932782
f3,1,sunflower lecithin,0.3,%,,lipid,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.419942322,7.0,0.0,9.0,12.37348,experimental,-0.059991760285714284,6.18674,2.4746960000000002
f3,1,sunflower lecithin,0.3,%,,lipid,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.419942322,7.0,0.0,9.0,22.6198,experimental,-0.059991760285714284,11.3099,1.5079866666666668
f3,1,sunflower lecithin,0.3,%,,lipid,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.0,14.0,0.626369978,,,experimental,0.044740712714285716,,
f3,2,lime extract,9.0,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.674932218,5.0,4.312926096,7.0,5.725791154,experimental,0.3275987756,0.7064325290000002,1.1451582308000001
f3,2,lime extract,9.0,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.0,7.0,0.0,9.0,20.59616131,experimental,0.0,10.298080655,4.119232262
f3,2,lime extract,9.0,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.35604,7.0,0.0,9.0,22.13537621,experimental,-0.19371999999999998,11.067688105,1.4756917473333333
f3,2,lime extract,9.0,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.0,14.0,0.232491176,,,experimental,0.01660651257142857,,
f3,2,lime extract,9.0,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.424354304,5.0,4.197079048,7.0,5.667454161,experimental,0.3545449488,0.7351875565000001,1.1334908322000001
f3,2,lime extract,9.0,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.0,7.0,0.0,9.0,21.54503556,experimental,0.0,10.77251778,4.309007112
f3,2,lime extract,9.0,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.222099487,7.0,0.0,9.0,27.52284889,experimental,-0.17458564099999999,13.761424445,1.8348565926666667
f3,2,lime extract,9.0,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.071103551,14.0,0.503730882,,,experimental,0.030901952214285718,,
f3,2,lime extract,9.0,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.640438483,5.0,4.235097286,7.0,5.664466391,experimental,0.31893176060000006,0.7146845525000001,1.1328932782
f3,2,lime extract,9.0,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.419942322,7.0,0.0,9.0,12.37348,experimental,-0.059991760285714284,6.18674,2.4746960000000002
f3,2,lime extract,9.0,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.419942322,7.0,0.0,9.0,22.6198,experimental,-0.059991760285714284,11.3099,1.5079866666666668
f3,2,lime extract,9.0,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.0,14.0,0.626369978,,,experimental,0.044740712714285716,,
f3,3,lime oil,9.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.674932218,5.0,4.312926096,7.0,5.725791154,experimental,0.3275987756,0.7064325290000002,1.1451582308000001
f3,3,lime oil,9.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.0,7.0,0.0,9.0,20.59616131,experimental,0.0,10.298080655,4.119232262
f3,3,lime oil,9.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.35604,7.0,0.0,9.0,22.13537621,experimental,-0.19371999999999998,11.067688105,1.4756917473333333
f3,3,lime oil,9.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.0,14.0,0.232491176,,,experimental,0.01660651257142857,,
f3,3,lime oil,9.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.424354304,5.0,4.197079048,7.0,5.667454161,experimental,0.3545449488,0.7351875565000001,1.1334908322000001
f3,3,lime oil,9.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.0,7.0,0.0,9.0,21.54503556,experimental,0.0,10.77251778,4.309007112
f3,3,lime oil,9.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.222099487,7.0,0.0,9.0,27.52284889,experimental,-0.17458564099999999,13.761424445,1.8348565926666667
f3,3,lime oil,9.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.071103551,14.0,0.503730882,,,experimental,0.030901952214285718,,
f3,3,lime oil,9.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.640438483,5.0,4.235097286,7.0,5.664466391,experimental,0.31893176060000006,0.7146845525000001,1.1328932782
f3,3,lime oil,9.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.419942322,7.0,0.0,9.0,12.37348,experimental,-0.059991760285714284,6.18674,2.4746960000000002
f3,3,lime oil,9.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.419942322,7.0,0.0,9.0,22.6198,experimental,-0.059991760285714284,11.3099,1.5079866666666668
f3,3,lime oil,9.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.0,14.0,0.626369978,,,experimental,0.044740712714285716,,
f3,4,lemon oil,0.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.674932218,5.0,4.312926096,7.0,5.725791154,experimental,0.3275987756,0.7064325290000002,1.1451582308000001
f3,4,lemon oil,0.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.0,7.0,0.0,9.0,20.59616131,experimental,0.0,10.298080655,4.119232262
f3,4,lemon oil,0.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.35604,7.0,0.0,9.0,22.13537621,experimental,-0.19371999999999998,11.067688105,1.4756917473333333
f3,4,lemon oil,0.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.0,14.0,0.232491176,,,experimental,0.01660651257142857,,
f3,4,lemon oil,0.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.424354304,5.0,4.197079048,7.0,5.667454161,experimental,0.3545449488,0.7351875565000001,1.1334908322000001
f3,4,lemon oil,0.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.0,7.0,0.0,9.0,21.54503556,experimental,0.0,10.77251778,4.309007112
f3,4,lemon oil,0.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.222099487,7.0,0.0,9.0,27.52284889,experimental,-0.17458564099999999,13.761424445,1.8348565926666667
f3,4,lemon oil,0.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.071103551,14.0,0.503730882,,,experimental,0.030901952214285718,,
f3,4,lemon oil,0.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.640438483,5.0,4.235097286,7.0,5.664466391,experimental,0.31893176060000006,0.7146845525000001,1.1328932782
f3,4,lemon oil,0.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.419942322,7.0,0.0,9.0,12.37348,experimental,-0.059991760285714284,6.18674,2.4746960000000002
f3,4,lemon oil,0.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.419942322,7.0,0.0,9.0,22.6198,experimental,-0.059991760285714284,11.3099,1.5079866666666668
f3,4,lemon oil,0.5,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.0,14.0,0.626369978,,,experimental,0.044740712714285716,,
f3,5,orange oil,1.3,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.674932218,5.0,4.312926096,7.0,5.725791154,experimental,0.3275987756,0.7064325290000002,1.1451582308000001
f3,5,orange oil,1.3,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.0,7.0,0.0,9.0,20.59616131,experimental,0.0,10.298080655,4.119232262
f3,5,orange oil,1.3,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.35604,7.0,0.0,9.0,22.13537621,experimental,-0.19371999999999998,11.067688105,1.4756917473333333
f3,5,orange oil,1.3,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.0,14.0,0.232491176,,,experimental,0.01660651257142857,,
f3,5,orange oil,1.3,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.424354304,5.0,4.197079048,7.0,5.667454161,experimental,0.3545449488,0.7351875565000001,1.1334908322000001
f3,5,orange oil,1.3,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.0,7.0,0.0,9.0,21.54503556,experimental,0.0,10.77251778,4.309007112
f3,5,orange oil,1.3,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.222099487,7.0,0.0,9.0,27.52284889,experimental,-0.17458564099999999,13.761424445,1.8348565926666667
f3,5,orange oil,1.3,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.071103551,14.0,0.503730882,,,experimental,0.030901952214285718,,
f3,5,orange oil,1.3,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.640438483,5.0,4.235097286,7.0,5.664466391,experimental,0.31893176060000006,0.7146845525000001,1.1328932782
f3,5,orange oil,1.3,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.419942322,7.0,0.0,9.0,12.37348,experimental,-0.059991760285714284,6.18674,2.4746960000000002
f3,5,orange oil,1.3,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.419942322,7.0,0.0,9.0,22.6198,experimental,-0.059991760285714284,11.3099,1.5079866666666668
f3,5,orange oil,1.3,%,,essential oil,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.0,14.0,0.626369978,,,experimental,0.044740712714285716,,
f4,1,garlic extract,0.025,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.609226307,5.0,4.769361885,7.0,5.337508451,experimental,0.43202711560000007,0.2840732829999997,1.0675016901999999
f4,1,garlic extract,0.025,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.381419048,14.0,2.026382679,,,experimental,0.11749740221428573,,
f4,1,garlic extract,0.025,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.839121905,11.0,1.310177732,14.0,15.86168511,experimental,0.04282325700000001,4.850502459333334,1.057445674
f4,1,garlic extract,0.025,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.529498654,14.0,0.613582963,,,experimental,0.006006022071428577,,
f4,1,garlic extract,0.025,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.591226589,5.0,4.573436213,7.0,5.49705859,experimental,0.39644192479999996,0.4618111885,1.099411718
f4,1,garlic extract,0.025,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.397629787,14.0,0.703020969,,,experimental,0.021813655857142854,,
f4,1,garlic extract,0.025,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,2.306252766,11.0,6.233888889,14.0,15.27472832,experimental,0.3570578293636364,3.013613143666666,1.0183152213333333
f4,1,garlic extract,0.025,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.600602206,14.0,0.387485294,,,experimental,-0.015222636571428574,,
f4,1,garlic extract,0.025,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.596008719,5.0,4.553381845,7.0,5.46984683,experimental,0.3914746252,0.4582324925000001,1.093969366
f4,1,garlic extract,0.025,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,2.441081905,14.0,1.453158519,,,experimental,-0.07056595614285713,,
f4,1,garlic extract,0.025,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,3.12763619,11.0,9.744966197,14.0,19.82523407,experimental,0.6015754551818181,3.360089291,1.3216822713333334
f4,1,garlic extract,0.025,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.200136154,14.0,0.561853676,,,experimental,0.025836965857142857,,
f4,2,grape and blueberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.609226307,5.0,4.769361885,7.0,5.337508451,experimental,0.43202711560000007,0.2840732829999997,1.0675016901999999
f4,2,grape and blueberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.381419048,14.0,2.026382679,,,experimental,0.11749740221428573,,
f4,2,grape and blueberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.839121905,11.0,1.310177732,14.0,15.86168511,experimental,0.04282325700000001,4.850502459333334,1.057445674
f4,2,grape and blueberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.529498654,14.0,0.613582963,,,experimental,0.006006022071428577,,
f4,2,grape and blueberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.591226589,5.0,4.573436213,7.0,5.49705859,experimental,0.39644192479999996,0.4618111885,1.099411718
f4,2,grape and blueberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.397629787,14.0,0.703020969,,,experimental,0.021813655857142854,,
f4,2,grape and blueberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,2.306252766,11.0,6.233888889,14.0,15.27472832,experimental,0.3570578293636364,3.013613143666666,1.0183152213333333
f4,2,grape and blueberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.600602206,14.0,0.387485294,,,experimental,-0.015222636571428574,,
f4,2,grape and blueberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.596008719,5.0,4.553381845,7.0,5.46984683,experimental,0.3914746252,0.4582324925000001,1.093969366
f4,2,grape and blueberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,2.441081905,14.0,1.453158519,,,experimental,-0.07056595614285713,,
f4,2,grape and blueberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,3.12763619,11.0,9.744966197,14.0,19.82523407,experimental,0.6015754551818181,3.360089291,1.3216822713333334
f4,2,grape and blueberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.200136154,14.0,0.561853676,,,experimental,0.025836965857142857,,
f4,3,cranberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.609226307,5.0,4.769361885,7.0,5.337508451,experimental,0.43202711560000007,0.2840732829999997,1.0675016901999999
f4,3,cranberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.381419048,14.0,2.026382679,,,experimental,0.11749740221428573,,
f4,3,cranberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.839121905,11.0,1.310177732,14.0,15.86168511,experimental,0.04282325700000001,4.850502459333334,1.057445674
f4,3,cranberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.529498654,14.0,0.613582963,,,experimental,0.006006022071428577,,
