article_#,ingredient_id,ingredient,concentration,unit_of_concentration,normalized_concentration_%_of_meat,chemical_composition,source,immersion_time,packaging_class,packaging_material,container_type,special_properties,storage_condition_(°c),meat_type,part_of_product,physical_hurdle_tech,application_method,hurdle_coordination,irradiation_dose,indicators,type_of_indicator,lower_level_threshold_(log_cfu/g),upper_level_threshold_(log_cfu/g),unit,initial_count_(day_0),pre_threshold_(day),pre_threshold_count,initial_inhibition_factor,post_threshold_(day),post_threshold_count,post_inhibition_factor,post_threshold_proximity_index_2(tpi),data_source
anm-0094,1,chlorine dioxide,0.3,%,0.3,mineral,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tac,microbial,5.0,7.0,log cfu/g,4.44,9.0,5.54,0.12,,,,,theoretical
anm-0094,1,chlorine dioxide,0.5,%,0.5,mineral,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tac,microbial,5.0,7.0,log cfu/g,4.36,9.0,5.75,0.15,,,,,theoretical
anm-0094,1,lactic acid,0.5,%,0.5,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tac,microbial,5.0,7.0,log cfu/g,4.39,9.0,5.62,0.14,,,,,theoretical
anm-0094,1,lactic acid,1.0,%,1.0,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tac,microbial,5.0,7.0,log cfu/g,4.35,9.0,5.79,0.16,,,,,theoretical
anm-0094,1,fumaric acid,0.5,%,0.5,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tac,microbial,5.0,7.0,log cfu/g,4.44,9.0,5.69,0.14,,,,,theoretical
anm-0094,1,fumaric acid,1.0,%,1.0,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tac,microbial,5.0,7.0,log cfu/g,4.55,9.0,5.66,0.12,,,,,theoretical
anm-0094,1,control,0.0,%,0.0,none,none,1.0,,,,,4,chicken,broiler wings,,,,,e. coli,microbial,2.0,3.0,log cfu/g,2.8,,,,5.0,3.15,0.63,1.05,theoretical
anm-0094,1,chlorine dioxide,0.3,%,0.3,mineral,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,e. coli,microbial,2.0,3.0,log cfu/g,2.52,9.0,2.92,0.04,,,,,theoretical
anm-0094,1,chlorine dioxide,0.5,%,0.5,mineral,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,e. coli,microbial,2.0,3.0,log cfu/g,2.18,9.0,2.63,0.05,,,,,theoretical
anm-0094,1,lactic acid,0.5,%,0.5,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,e. coli,microbial,2.0,3.0,log cfu/g,2.4,9.0,2.67,0.03,,,,,theoretical
anm-0094,1,lactic acid,1.0,%,1.0,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,e. coli,microbial,2.0,3.0,log cfu/g,1.79,9.0,2.13,0.04,,,,,theoretical
anm-0094,1,fumaric acid,0.5,%,0.5,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,e. coli,microbial,2.0,3.0,log cfu/g,2.27,9.0,2.65,0.04,,,,,theoretical
anm-0094,1,fumaric acid,1.0,%,1.0,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,e. coli,microbial,2.0,3.0,log cfu/g,2.09,9.0,2.33,0.03,,,,,theoretical
anm-0094,1,control,0.0,%,0.0,none,none,1.0,,,,,4,chicken,broiler wings,,,,,tpc,microbial,5.0,7.0,log cfu/g,5.63,5.0,5.7,0.01,,,,,theoretical
anm-0094,1,chlorine dioxide,0.3,%,0.3,mineral,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tpc,microbial,5.0,7.0,log cfu/g,5.43,9.0,5.77,0.04,,,,,theoretical
anm-0094,1,chlorine dioxide,0.5,%,0.5,mineral,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tpc,microbial,5.0,7.0,log cfu/g,5.38,9.0,5.72,0.04,,,,,theoretical
anm-0094,1,lactic acid,0.5,%,0.5,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tpc,microbial,5.0,7.0,log cfu/g,5.41,9.0,5.75,0.04,,,,,theoretical
anm-0094,1,lactic acid,1.0,%,1.0,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tpc,microbial,5.0,7.0,log cfu/g,5.4,9.0,5.77,0.04,,,,,theoretical
anm-0094,1,fumaric acid,0.5,%,0.5,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tpc,microbial,5.0,7.0,log cfu/g,5.47,9.0,5.77,0.03,,,,,theoretical
anm-0094,1,fumaric acid,1.0,%,1.0,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tpc,microbial,5.0,7.0,log cfu/g,5.4,9.0,5.74,0.04,,,,,theoretical
anm-0105-106,1,control,0.0,mg/kg meat,0.0,none,none,,,pa|pp|ps,tray,oxygen-permeable|barrier,4,beef,raw beef patties,,salt,single,,tvc,microbial,5.0,7.0,log cfu/g,4.6,6.0,5.6,0.17,9.0,6.4,0.267,0.914,theoretical
anm-0105-106,1,so2,100.0,mg/kg meat,0.01,mineral,other natural sources,,,pa|pp|ps,tray,oxygen-permeable|barrier,4,beef,raw beef patties,,anm+salt,hybrid_simultaneous,,tvc,microbial,5.0,7.0,log cfu/g,4.5,9.0,5.9,0.16,,,,,theoretical
anm-0105-106,1,so2,100.0,mg/kg meat,0.01,mineral,other natural sources,,,pa|pp|ps,tray,oxygen-permeable|barrier,4,beef,raw beef patties,,anm+salt,hybrid_simultaneous,,tvc,microbial,5.0,7.0,log cfu/g,4.4,9.0,5.6,0.13,,,,,theoretical
anm-0105-106,1,so2,100.0,mg/kg meat,0.01,mineral,other natural sources,,,pa|pp|ps,tray,oxygen-permeable|barrier,4,beef,raw beef patties,,anm+salt,hybrid_simultaneous,,tvc,microbial,5.0,7.0,log cfu/g,4.3,9.0,5.8,0.17,,,,,theoretical
anm-0105-106,1,so2,100.0,mg/kg meat,0.01,mineral,other natural sources,,,pa|pp|ps,tray,oxygen-permeable|barrier,4,beef,raw beef patties,,anm+salt,hybrid_simultaneous,,tvc,microbial,5.0,7.0,log cfu/g,4.4,9.0,5.6,0.13,,,,,theoretical
anm-0105-106,1,control,0.0,mg/kg meat,0.0,none,none,,,pa|pp|ps,tray,oxygen-permeable|barrier,4,beef,raw beef patties,,salt,single,,tcc,microbial,2.0,3.0,log cfu/g,3.4,9.0,5.5,0.23,,,,,theoretical
anm-0105-106,1,so2,100.0,mg/kg meat,0.01,mineral,other natural sources,,,pa|pp|ps,tray,oxygen-permeable|barrier,4,beef,raw beef patties,,anm+salt,hybrid_simultaneous,,tcc,microbial,2.0,3.0,log cfu/g,3.3,9.0,4.1,0.09,,,,,theoretical
anm-0105-106,1,so2,100.0,mg/kg meat,0.01,mineral,other natural sources,,,pa|pp|ps,tray,oxygen-permeable|barrier,4,beef,raw beef patties,,anm+salt,hybrid_simultaneous,,tcc,microbial,2.0,3.0,log cfu/g,3.2,9.0,3.7,0.06,,,,,theoretical
anm-0105-106,1,so2,100.0,mg/kg meat,0.01,mineral,other natural sources,,,pa|pp|ps,tray,oxygen-permeable|barrier,4,beef,raw beef patties,,anm+salt,hybrid_simultaneous,,tcc,microbial,2.0,3.0,log cfu/g,3.3,9.0,3.8,0.06,,,,,theoretical
anm-0105-106,1,so2,100.0,mg/kg meat,0.01,mineral,other natural sources,,,pa|pp|ps,tray,oxygen-permeable|barrier,4,beef,raw beef patties,,anm+salt,hybrid_simultaneous,,tcc,microbial,2.0,3.0,log cfu/g,3.4,9.0,3.4,0.0,,,,,theoretical
anm-0105-106,1,control,0.0,mg/kg meat,0.0,none,none,,,pa|pp|ps,tray,oxygen-permeable|barrier,4,beef,raw beef patties,,salt,single,,tbars,chemical,0.5,2.0,mda/kg,0.83,1.0,0.83,0.0,4.0,,,,theoretical
anm-0105-106,1,so2,100.0,mg/kg meat,0.01,mineral,other natural sources,,,pa|pp|ps,tray,oxygen-permeable|barrier,4,beef,raw beef patties,,anm+salt,hybrid_simultaneous,,tbars,chemical,0.5,2.0,mda/kg,0.78,1.0,0.78,0.0,4.0,,,,theoretical
anm-0105-106,1,so2,100.0,mg/kg meat,0.01,mineral,other natural sources,,,pa|pp|ps,tray,oxygen-permeable|barrier,4,beef,raw beef patties,,anm+salt,hybrid_simultaneous,,tbars,chemical,0.5,2.0,mda/kg,0.44,10.0,0.69,0.025,,,,,theoretical
anm-0105-106,1,so2,100.0,mg/kg meat,0.01,mineral,other natural sources,,,pa|pp|ps,tray,oxygen-permeable|barrier,4,beef,raw beef patties,,anm+salt,hybrid_simultaneous,,tbars,chemical,0.5,2.0,mda/kg,0.51,10.0,0.6,0.009,,,,,theoretical
anm-0105-106,1,so2,100.0,mg/kg meat,0.01,mineral,other natural sources,,,pa|pp|ps,tray,oxygen-permeable|barrier,4,beef,raw beef patties,,anm+salt,hybrid_simultaneous,,tbars,chemical,0.5,2.0,mda/kg,0.45,10.0,0.47,0.002,,,,,theoretical
anm-0109,1,control,0.0,g/100g,0.0,none,none,,,,,,4,pork,pork burgers,,,,,tvc,microbial,5.0,7.0,log cfu/g,4.3,3.0,5.7,0.47,6.0,6.5,0.267,0.929,theoretical
anm-0109,1,grape pomace extract 1,0.06,g/100g,0.06,phenol,plant,,,,,,4,pork,pork burgers,,anm,single,,tvc,microbial,5.0,7.0,log cfu/g,4.5,3.0,5.7,0.4,6.0,6.5,0.267,0.929,theoretical
anm-0109,1,grape pomace extract 2,0.06,g/100g,0.06,phenol,plant,,,,,,4,pork,pork burgers,,anm,single,,tvc,microbial,5.0,7.0,log cfu/g,4.2,3.0,5.2,0.33,6.0,6.7,0.5,0.957,theoretical
anm-0109,1,control,0.0,g/100g,0.0,none,none,,,,,,4,pork,pork burgers,,,,,tpc,microbial,5.0,7.0,log cfu/g,4.2,3.0,5.7,0.5,6.0,6.3,0.2,0.9,theoretical
anm-0109,1,grape pomace extract 1,0.06,g/100g,0.06,phenol,plant,,,,,,4,pork,pork burgers,,anm,single,,tpc,microbial,5.0,7.0,log cfu/g,4.5,3.0,5.6,0.37,6.0,6.6,0.333,0.943,theoretical
anm-0109,1,grape pomace extract 2,0.06,g/100g,0.06,phenol,plant,,,,,,4,pork,pork burgers,,anm,single,,tpc,microbial,5.0,7.0,log cfu/g,4.2,3.0,5.2,0.33,6.0,6.3,0.367,0.9,theoretical
anm-0109,1,control,0.0,g/100g,0.0,none,none,,,,,,4,pork,pork burgers,,,,,tcc,microbial,5.0,7.0,log cfu/g,4.2,3.0,5.5,0.43,6.0,6.3,0.267,0.9,theoretical
anm-0109,1,grape pomace extract 1,0.06,g/100g,0.06,phenol,plant,,,,,,4,pork,pork burgers,,anm,single,,tcc,microbial,5.0,7.0,log cfu/g,4.6,3.0,5.4,0.27,6.0,6.0,0.2,0.857,theoretical
anm-0109,1,grape pomace extract 2,0.06,g/100g,0.06,phenol,plant,,,,,,4,pork,pork burgers,,anm,single,,tcc,microbial,5.0,7.0,log cfu/g,4.2,3.0,4.9,0.23,6.0,6.4,0.5,0.914,theoretical
anm-0109,1,control,0.0,g/100g,0.0,none,none,,,,,,4,pork,pork burgers,,,,,tbars,chemical,0.5,2.0,mg mda/kg,1.07,1.0,1.07,0.0,4.0,5.41,1.447,2.71,theoretical
anm-0109,1,grape pomace extract 1,0.06,g/100g,0.06,phenol,plant,,,,,,4,pork,pork burgers,,anm,single,,tbars,chemical,0.5,2.0,mg mda/kg,0.54,7.0,1.22,0.097,,,,,theoretical
anm-0109,1,grape pomace extract 2,0.06,g/100g,0.06,phenol,plant,,,,,,4,pork,pork burgers,,anm,single,,tbars,chemical,0.5,2.0,mg mda/kg,0.78,1.0,0.78,0.0,4.0,2.76,0.66,1.38,theoretical
anm-0110-113,1,control,0.0,µg/g meat,0.0,none,none,,aerobic,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,,,,tvc,microbial,5.0,7.0,log cfu/g,3.24,21.0,6.85,0.17,,,,,theoretical
anm-0110-113,1,lutein,200.0,µg/g meat,0.02,carbohydrate,plant,,aerobic,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,anm,single,,tvc,microbial,5.0,7.0,log cfu/g,3.14,21.0,6.76,0.17,,,,,theoretical
anm-0110-113,1,sesamol,250.0,µg/g meat,0.025,phenol,plant,,aerobic,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,anm,single,,tvc,microbial,5.0,7.0,log cfu/g,3.21,21.0,6.79,0.17,,,,,theoretical
anm-0110-113,1,ellagic acid,300.0,µg/g meat,0.03,phenol,plant,,aerobic,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,anm,single,,tvc,microbial,5.0,7.0,log cfu/g,3.29,21.0,6.87,0.17,,,,,theoretical
anm-0110-113,1,olive leaf,200.0,µg/g meat,0.02,phenol,plant,,aerobic,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,anm,single,,tvc,microbial,5.0,7.0,log cfu/g,3.3,21.0,6.81,0.17,,,,,theoretical
anm-0110-113,1,control,0.0,µg/g meat,0.0,none,none,,map,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,,,,tvc,microbial,5.0,7.0,log cfu/g,3.31,14.0,6.68,0.24,21.0,7.75,0.153,1.107,theoretical
anm-0110-113,1,lutein,200.0,µg/g meat,0.02,carbohydrate,plant,,map,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,anm+map,hybrid_simultaneous,,tvc,microbial,5.0,7.0,log cfu/g,3.35,7.0,6.82,0.5,14.0,7.35,0.076,1.05,theoretical
anm-0110-113,1,sesamol,250.0,µg/g meat,0.025,phenol,plant,,map,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,anm+map,hybrid_simultaneous,,tvc,microbial,5.0,7.0,log cfu/g,3.17,14.0,6.72,0.25,21.0,7.42,0.1,1.06,theoretical
anm-0110-113,1,ellagic acid,300.0,µg/g meat,0.03,phenol,plant,,map,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,anm+map,hybrid_simultaneous,,tvc,microbial,5.0,7.0,log cfu/g,3.29,7.0,6.38,0.44,14.0,7.1,0.103,1.014,theoretical
anm-0110-113,1,olive leaf,200.0,µg/g meat,0.02,phenol,plant,,map,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,anm+map,hybrid_simultaneous,,tvc,microbial,5.0,7.0,log cfu/g,3.35,7.0,6.58,0.46,14.0,7.27,0.099,1.039,theoretical
anm-0110-113,1,control,0.0,µg/g meat,0.0,none,none,,aerobic,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,,,,tbars,chemical,0.5,2.0,mg mda/kg,0.43,8.0,0.95,0.065,14.0,1.03,0.013,0.52,theoretical
anm-0110-113,1,lutein,200.0,µg/g meat,0.02,carbohydrate,plant,,aerobic,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,anm,single,,tbars,chemical,0.5,2.0,mg mda/kg,0.37,22.0,0.97,0.027,,,,,theoretical
anm-0110-113,1,sesamol,250.0,µg/g meat,0.025,phenol,plant,,aerobic,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,anm,single,,tbars,chemical,0.5,2.0,mg mda/kg,0.39,22.0,0.57,0.008,,,,,theoretical
anm-0110-113,1,ellagic acid,300.0,µg/g meat,0.03,phenol,plant,,aerobic,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,anm,single,,tbars,chemical,0.5,2.0,mg mda/kg,0.3,22.0,0.74,0.02,,,,,theoretical
anm-0110-113,1,olive leaf,200.0,µg/g meat,0.02,phenol,plant,,aerobic,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,anm,single,,tbars,chemical,0.5,2.0,mg mda/kg,0.39,22.0,0.8,0.019,,,,,theoretical
anm-0110-113,1,control,0.0,µg/g meat,0.0,none,none,,map,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,,,,tbars,chemical,0.5,2.0,mg mda/kg,0.43,1.0,0.43,0.0,8.0,1.06,0.09,0.53,theoretical
anm-0110-113,1,lutein,200.0,µg/g meat,0.02,carbohydrate,plant,,map,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,anm+map,hybrid_simultaneous,,tbars,chemical,0.5,2.0,mg mda/kg,0.37,1.0,0.37,0.0,8.0,1.1,0.104,0.55,theoretical
anm-0110-113,1,sesamol,250.0,µg/g meat,0.025,phenol,plant,,map,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,anm+map,hybrid_simultaneous,,tbars,chemical,0.5,2.0,mg mda/kg,0.39,22.0,0.46,0.003,,,,,theoretical
anm-0110-113,1,ellagic acid,300.0,µg/g meat,0.03,phenol,plant,,map,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,anm+map,hybrid_simultaneous,,tbars,chemical,0.5,2.0,mg mda/kg,0.3,22.0,0.89,0.027,,,,,theoretical
anm-0110-113,1,olive leaf,200.0,µg/g meat,0.02,phenol,plant,,map,,,,4,pork,raw pork sausuages (fresh pork sholder and pork back fat),,anm+map,hybrid_simultaneous,,tbars,chemical,0.5,2.0,mg mda/kg,0.39,15.0,0.83,0.029,22.0,1.13,0.043,0.57,theoretical
anm-0110-113,1,control,0.0,µg/g meat,0.0,none,none,,aerobic,,,,4,pork,coooked pork sausuages (fresh pork sholder and pork back fat),,,,,tbars,chemical,0.5,2.0,mg mda/kg,0.81,1.0,0.81,0.0,8.0,1.1,0.041,0.55,theoretical
anm-0110-113,1,lutein,200.0,µg/g meat,0.02,carbohydrate,plant,,aerobic,,,,4,pork,coooked pork sausuages (fresh pork sholder and pork back fat),,anm,single,,tbars,chemical,0.5,2.0,mg mda/kg,0.88,15.0,0.95,0.005,22.0,1.19,0.034,0.6,theoretical
anm-0110-113,1,sesamol,250.0,µg/g meat,0.025,phenol,plant,,aerobic,,,,4,pork,coooked pork sausuages (fresh pork sholder and pork back fat),,anm,single,,tbars,chemical,0.5,2.0,mg mda/kg,0.8,22.0,0.7,-0.005,,,,,theoretical
anm-0110-113,1,ellagic acid,300.0,µg/g meat,0.03,phenol,plant,,aerobic,,,,4,pork,coooked pork sausuages (fresh pork sholder and pork back fat),,anm,single,,tbars,chemical,0.5,2.0,mg mda/kg,0.88,22.0,0.96,0.004,,,,,theoretical
anm-0110-113,1,olive leaf,200.0,µg/g meat,0.03,phenol,plant,,aerobic,,,,4,pork,coooked pork sausuages (fresh pork sholder and pork back fat),,anm,single,,tbars,chemical,0.5,2.0,mg mda/kg,0.69,22.0,0.98,0.013,,,,,theoretical
anm-0110-113,1,control,0.0,µg/g meat,0.0,none,none,,map,,,,4,pork,coooked pork sausuages (fresh pork sholder and pork back fat),,,,,tbars,chemical,0.5,2.0,mg mda/kg,0.81,1.0,0.81,0.0,8.0,1.19,0.054,0.6,theoretical
anm-0110-113,1,lutein,200.0,µg/g meat,0.02,carbohydrate,plant,,map,,,,4,pork,coooked pork sausuages (fresh pork sholder and pork back fat),,anm+map,hybrid_simultaneous,,tbars,chemical,0.5,2.0,mg mda/kg,0.88,1.0,0.88,0.0,8.0,1.14,0.037,0.57,theoretical
anm-0110-113,1,sesamol,250.0,µg/g meat,0.025,phenol,plant,,map,,,,4,pork,coooked pork sausuages (fresh pork sholder and pork back fat),,anm+map,hybrid_simultaneous,,tbars,chemical,0.5,2.0,mg mda/kg,0.8,22.0,0.8,0.0,,,,,theoretical
anm-0110-113,1,ellagic acid,300.0,µg/g meat,0.03,phenol,plant,,map,,,,4,pork,coooked pork sausuages (fresh pork sholder and pork back fat),,anm+map,hybrid_simultaneous,,tbars,chemical,0.5,2.0,mg mda/kg,0.88,22.0,0.99,0.005,,,,,theoretical
anm-0110-113,1,olive leaf,200.0,µg/g meat,0.02,phenol,plant,,map,,,,4,pork,coooked pork sausuages (fresh pork sholder and pork back fat),,anm+map,hybrid_simultaneous,,tbars,chemical,0.5,2.0,mg mda/kg,0.69,8.0,0.98,0.036,15.0,1.0,0.003,0.5,theoretical
anm-0130,1,control,0.0,%,0.0,none,none,,,,,,20,pork,dry pork sausuages (fresh boneless pork hams and pork backfat),,,,,tvc,microbial,7.0,7.0,log cfu/g,7.0,1.0,7.0,0.0,8.0,7.5,0.071,1.071,theoretical
anm-0130,1,tea polyphenol,0.03,%,0.03,phenol,plant,,,,,,20,pork,dry pork sausuages (fresh boneless pork hams and pork backfat),,anm,single,,tvc,microbial,7.0,7.0,log cfu/g,7.0,1.0,7.0,0.0,8.0,7.4,0.057,1.057,theoretical
anm-0130,1,control,0.0,%,0.0,none,none,,,,,,20,pork,dry pork sausuages (fresh boneless pork hams and pork backfat),,,,,lab,microbial,5.0,7.0,log cfu/g,6.4,1.0,6.4,0.0,8.0,7.0,0.086,1.0,theoretical
anm-0130,1,tea polyphenol,0.03,%,0.03,phenol,plant,,,,,,20,pork,dry pork sausuages (fresh boneless pork hams and pork backfat),,anm,single,,lab,microbial,5.0,7.0,log cfu/g,6.4,1.0,6.4,0.0,8.0,7.0,0.086,1.0,theoretical
anm-0136-139,1,control,0.0,iu/g,0.0,none,none,30.0,active_antimicrobial,ldpe|pa,,active packaging,4,chicken,fresh chicken breast 300g,,,,,tvc,microbial,5.0,7.0,log cfu/g,4.3,1.0,4.3,0.0,9.5,7.0,0.318,1.0,theoretical
